id,inid,Term,Owner
578,17,Pole mounting or any mount to fix camera / monitor  if required  shall be fabricated at extra cost,2
577,17, Lift CCTV Cabling will done by your lift service provider.,2
575,17,Wiring at your scope,2
576,17,A.M.C will be under taken after completion of warranty period @ 7% of the Invoice Value,2
574,17,  Taxes: Extra if any levied at the time of delivery other than specified.,2
573,17,Warranty of the equipment will 12 month from date of purchase.,2
572,17,"Any fabrication, carpentry, mason, work if required will be at your scope.    ",2
569,17,"Payment: 50% against firm order, balance on delivery.",2
570,17,Delivery: With in 2 to 4 week.,2
571,17,Payment: 100% on Delvary,2
507,18,"Payment: 50% against firm order, balance on delivery.",2
508,18,  Taxes: Extra if any levied at the time of delivery other than specified.,2
509,18,"Any fabrication, carpentry, mason, work if required will be at your scope.    ",2
510,18,Warranty of the equipment will 12 month from date of purchase.,2
511,18, Lift CCTV Cabling will done by your lift service provider.,2
512,18,Pole mounting or any mount to fix camera / monitor  if required  shall be fabricated at extra cost,2
567,19,Delivery: With in 2 to 4 week.,2
568,19, Lift CCTV Cabling will done by your lift service provider.,2
566,19,"Any fabrication, carpentry, mason, work if required will be at your scope.    ",2
565,19,  Taxes: Extra if any levied at the time of delivery other than specified.,2
564,19,"Payment: 50% against firm order, balance on delivery.",2
563,19,Warranty of the equipment will 12 month from date of purchase.,2
562,19,Pole mounting or any mount to fix camera / monitor  if required  shall be fabricated at extra cost,2
